keys,ko,en
"니드런♂이 뿔로 문을 긁었다. 나가고 싶은 건지, 누구를 기다리는 건지.","니드런♂이 뿔로 문을 긁었다. 나가고 싶은 건지, 누구를 기다리는 건지.","Nidoran♂ scratched at the door with its horn. Does it want out, or is it waiting for someone?"
탕구리가 먹이를 반쯤 먹고 남겼다. 어제보다는 많이 먹었다.,탕구리가 먹이를 반쯤 먹고 남겼다. 어제보다는 많이 먹었다.,Cubone ate half its food and left the rest. That's more than yesterday.
캐이시는 여전히 잠만 잔다. 하지만 이사를 할 때마다 짐보다 먼저 새집에 가 있다.,캐이시는 여전히 잠만 잔다. 하지만 이사를 할 때마다 짐보다 먼저 새집에 가 있다.,"Abra still just sleeps. But every time I move, it's at the new place before my stuff is."
메타몽은 요즘 내 얼굴로 변신해서 대신 장을 봐 온다. 가끔 로사 얼굴로 가서 외상을 한다.,메타몽은 요즘 내 얼굴로 변신해서 대신 장을 봐 온다. 가끔 로사 얼굴로 가서 외상을 한다.,These days Ditto turns into me and does the grocery shopping. Sometimes it goes as Jessie and buys on credit.
폴리곤은 실프 연구소에 돌아가지 않았다. 내 방 단말기에서 날씨 예보를 틀어 주는 게 녀석의 일이다.,폴리곤은 실프 연구소에 돌아가지 않았다. 내 방 단말기에서 날씨 예보를 틀어 주는 게 녀석의 일이다.,Porygon never went back to the Silph lab. Its job is putting the forecast on my room's terminal.
탕구리는 한 달에 한 번 보라타운 포켓몬타워에 간다. 나도 같이 간다.,탕구리는 한 달에 한 번 보라타운 포켓몬타워에 간다. 나도 같이 간다.,"Once a month, Cubone visits the Pokémon Tower in Lavender Town. I go with it."
떠돌이 나옹은 선배네 나옹과 번갈아 우리 집 창틀에 앉는다.,떠돌이 나옹은 선배네 나옹과 번갈아 우리 집 창틀에 앉는다.,The stray Meowth and the seniors' Meowth take turns sitting on my window frame.
고라파덕은 아직도 머리가 아프다. 그래도 요즘은 같이 산책을 나간다.,고라파덕은 아직도 머리가 아프다. 그래도 요즘은 같이 산책을 나간다.,Psyduck still has a headache. But these days we go on walks together.
야돈은 이제 내 이름을 안다. 부르면 사흘쯤 뒤에 돌아본다.,야돈은 이제 내 이름을 안다. 부르면 사흘쯤 뒤에 돌아본다.,"Slowpoke knows my name now. If I call, it turns around about three days later."
망키는 여전히 냉장고를 연다. 이제는 내 몫도 꺼내 준다.,망키는 여전히 냉장고를 연다. 이제는 내 몫도 꺼내 준다.,"Mankey still opens the fridge. Now it hands me my share, too."
니드런♀은 22번 도로에서 니드런♂을 다시 만났다. 둘은 요즘 우리 집 마당에서 산다.,니드런♀은 22번 도로에서 니드런♂을 다시 만났다. 둘은 요즘 우리 집 마당에서 산다.,Nidoran♀ met Nidoran♂ again on Route 22. Now they both live in my yard.
니드런♂은 22번 도로에서 니드런♀을 다시 만났다. 둘은 요즘 우리 집 마당에서 산다.,니드런♂은 22번 도로에서 니드런♀을 다시 만났다. 둘은 요즘 우리 집 마당에서 산다.,Nidoran♂ met Nidoran♀ again on Route 22. Now they both live in my yard.
탕구리는 이제 밥을 다 먹는다. 투구는 여전히 벗지 않는다.,탕구리는 이제 밥을 다 먹는다. 투구는 여전히 벗지 않는다.,Cubone finishes all its food now. It still won't take off its skull helmet.
꼬렛,꼬렛,Rattata
22번 도로 풀숲에서 덫으로 잡았다.,22번 도로 풀숲에서 덫으로 잡았다.,Trapped in the grass on Route 22.
창고 뒤 쓰레기통을 뒤지다 잡혔다.,창고 뒤 쓰레기통을 뒤지다 잡혔다.,Caught digging through the bins behind the warehouse.
구구,구구,Pidgey
1번 도로에서 그물로 잡았다.,1번 도로에서 그물로 잡았다.,Netted on Route 1.
상록시티 공원 벤치 밑에서 모이를 쪼다 잡혔다.,상록시티 공원 벤치 밑에서 모이를 쪼다 잡혔다.,Caught pecking at crumbs under a Viridian City park bench.
깨비참,깨비참,Spearow
3번 도로. 성질이 사나우니 손 조심.,3번 도로. 성질이 사나우니 손 조심.,"Route 3. Mean temper, so mind your hands."
달맞이산 입구 전깃줄에서 떨어진 것을 주웠다.,달맞이산 입구 전깃줄에서 떨어진 것을 주웠다.,Picked up after it fell off a power line near Mt. Moon.
뚜벅쵸,뚜벅쵸,Oddish
24번 도로 풀숲에서 잡았다.,24번 도로 풀숲에서 잡았다.,Caught in the grass on Route 24.
밤중에 걸어 다니던 것을 손전등으로 비춰 잡았다.,밤중에 걸어 다니던 것을 손전등으로 비춰 잡았다.,Caught at night with a flashlight while it was walking around.
발챙이,발챙이,Poliwag
25번 도로 연못에서 그물로 건졌다.,25번 도로 연못에서 그물로 건졌다.,Netted from a pond on Route 25.
무지개시티 분수대에서 건졌다.,무지개시티 분수대에서 건졌다.,Fished out of the Celadon City fountain.
꼬마돌,꼬마돌,Geodude
달맞이산 동굴 입구에서 잡았다.,달맞이산 동굴 입구에서 잡았다.,Caught at the cave entrance on Mt. Moon.
바위산 터널에서 돌인 줄 알고 주워 왔다.,바위산 터널에서 돌인 줄 알고 주워 왔다.,Picked up in Rock Tunnel. Thought it was a rock.
주뱃,주뱃,Zubat
달맞이산 동굴에서 한꺼번에 잡았다.,달맞이산 동굴에서 한꺼번에 잡았다.,Caught in bulk in the Mt. Moon caves.
바위산 터널 천장에 매달려 있던 것을 떼어 왔다.,바위산 터널 천장에 매달려 있던 것을 떼어 왔다.,Pried off the ceiling of Rock Tunnel.
파라스,파라스,Paras
달맞이산 동굴 안쪽.,달맞이산 동굴 안쪽.,Deep inside the Mt. Moon caves.
버섯 채취꾼 바구니에 섞여 들어왔다.,버섯 채취꾼 바구니에 섞여 들어왔다.,Got mixed into a mushroom picker's basket.
콘팡,콘팡,Venonat
상록숲 가장자리.,상록숲 가장자리.,Edge of Viridian Forest.
12번 도로 가로등 밑에 모여 있던 것을 쓸어 담았다.,12번 도로 가로등 밑에 모여 있던 것을 쓸어 담았다.,Swept up from under a streetlight on Route 12.
모다피,모다피,Bellsprout
25번 도로 풀숲.,25번 도로 풀숲.,Grass on Route 25.
5번 도로 화단에 심겨 있던 것을 뽑아 왔다.,5번 도로 화단에 심겨 있던 것을 뽑아 왔다.,Pulled out of a flower bed on Route 5.
왕눈해,왕눈해,Tentacool
갈색시티 항구. 상자가 축축하다.,갈색시티 항구. 상자가 축축하다.,Vermilion Harbor. The crate is damp.
19번 수로에서 그물에 걸렸다.,19번 수로에서 그물에 걸렸다.,Caught in a net on Route 19.
두두,두두,Doduo
사이클링로드 아래.,사이클링로드 아래.,Under Cycling Road.
16번 도로 풀밭을 달리던 것을 쫓아가 잡았다.,16번 도로 풀밭을 달리던 것을 쫓아가 잡았다.,Chased down while it was running through the grass on Route 16.
셀러,셀러,Shellder
갈색시티 앞바다.,갈색시티 앞바다.,Off the coast of Vermilion City.
쌍둥이섬 해변에서 주웠다. 입을 꾹 다물고 있다.,쌍둥이섬 해변에서 주웠다. 입을 꾹 다물고 있다.,Picked up on a Seafoam Islands beach. Its shell is clamped shut.
크랩,크랩,Krabby
갈색시티 해변.,갈색시티 해변.,Vermilion City beach.
항구 어시장 수조에서 빼 왔다.,항구 어시장 수조에서 빼 왔다.,Swiped from a tank at the harbor fish market.
찌리리공,찌리리공,Voltorb
무인발전소.,무인발전소.,The Power Plant.
몬스터볼인 줄 알고 주웠다가 감전됐다고 한다.,몬스터볼인 줄 알고 주웠다가 감전됐다고 한다.,Someone picked it up thinking it was a Poké Ball and got zapped.
아라리,아라리,Exeggcute
사파리존.,사파리존.,Safari Zone.
무지개시티 청과물 시장 상자에 섞여 있었다.,무지개시티 청과물 시장 상자에 섞여 있었다.,It was mixed in with a produce crate at the Celadon market.
콘치,콘치,Goldeen
무지개시티 연못.,무지개시티 연못.,A pond in Celadon City.
4번 도로 개울에서 낚았다.,4번 도로 개울에서 낚았다.,Fished out of a stream on Route 4.
별가사리,별가사리,Staryu
블루시티 해변.,블루시티 해변.,Cerulean City beach.
밤바다에서 빛나던 것을 건졌다.,밤바다에서 빛나던 것을 건졌다.,Scooped up while it was glowing in the night sea.
모래두지,모래두지,Sandshrew
4번 도로 모래밭.,4번 도로 모래밭.,Sandy ground on Route 4.
11번 도로 공사장 모래 더미에서 파냈다.,11번 도로 공사장 모래 더미에서 파냈다.,Dug out of a sand pile at a Route 11 construction site.
망키,망키,Mankey
22번 도로.,22번 도로.,Route 22.
상록시티 과일 가게에서 사과를 훔치다 잡혔다.,상록시티 과일 가게에서 사과를 훔치다 잡혔다.,Caught stealing apples from a Viridian City fruit stand.
아보,아보,Ekans
11번 도로.,11번 도로.,Route 11.
22번 도로 풀숲에 똬리를 틀고 있었다.,22번 도로 풀숲에 똬리를 틀고 있었다.,It was lying coiled up in the Route 22 grass.
또가스,또가스,Koffing
무인발전소 근처.,무인발전소 근처.,Near the Power Plant.
무지개시티 공장 굴뚝 옆에서 잡았다.,무지개시티 공장 굴뚝 옆에서 잡았다.,Caught by a factory chimney in Celadon City.
질퍽이,질퍽이,Grimer
무지개시티 하수구.,무지개시티 하수구.,Celadon City sewers.
보라타운 폐수로에서 퍼 왔다. 냄새가 심하다.,보라타운 폐수로에서 퍼 왔다. 냄새가 심하다.,Scooped out of a Lavender Town drainage ditch. It reeks.
뿔충이,뿔충이,Weedle
상록숲.,상록숲.,Viridian Forest.
상록숲 입구 나무에서 털어 냈다.,상록숲 입구 나무에서 털어 냈다.,Shaken out of a tree at the edge of Viridian Forest.
딱충이,딱충이,Kakuna
나뭇가지에 매달린 채로 가지째 꺾어 왔다.,나뭇가지에 매달린 채로 가지째 꺾어 왔다.,Snapped off still hanging from its branch.
디그다,디그다,Diglett
디그다굴에서 파냈다. 파내는 데 반나절이 걸렸다.,디그다굴에서 파냈다. 파내는 데 반나절이 걸렸다.,Dug up in Diglett's Cave. Took half a day.
갈색시티 밭에서 고개를 내밀었다가 잡혔다.,갈색시티 밭에서 고개를 내밀었다가 잡혔다.,Caught when it popped its head up in a Vermilion City field.
알통몬,알통몬,Machop
회색시티 체육관 뒤에서 혼자 수련하던 것을 잡았다.,회색시티 체육관 뒤에서 혼자 수련하던 것을 잡았다.,Caught training alone behind the Pewter City Gym.
바위산 터널에서 바위를 나르고 있었다.,바위산 터널에서 바위를 나르고 있었다.,It was hauling boulders in Rock Tunnel.
포니타,포니타,Ponyta
17번 도로.,17번 도로.,Route 17.
사이클링로드 옆 목장 울타리를 뛰어넘다 잡혔다.,사이클링로드 옆 목장 울타리를 뛰어넘다 잡혔다.,Caught jumping a ranch fence by Cycling Road.
뿔카노,뿔카노,Rhyhorn
바위산 기슭을 들이받으며 다니던 것을 잡았다.,바위산 기슭을 들이받으며 다니던 것을 잡았다.,Caught ramming its way along the foot of a rocky mountain.
쏘드라,쏘드라,Horsea
21번 수로 해초 사이에서 건졌다.,21번 수로 해초 사이에서 건졌다.,Pulled from the seaweed on Route 21.
덩쿠리,덩쿠리,Tangela
21번 수로 풀숲.,21번 수로 풀숲.,The grass along Route 21.
보라타운 담장 덩굴인 줄 알고 걷어 왔다.,보라타운 담장 덩굴인 줄 알고 걷어 왔다.,Someone yanked it off a Lavender Town wall thinking it was ivy.
잉어킹,잉어킹,Magikarp
갈색시티 항구에서 건졌다. 튀어 오르기만 한다.,갈색시티 항구에서 건졌다. 튀어 오르기만 한다.,Netted at Vermilion Harbor. All it does is splash.
분노의 호수 낚시터에서 한 무더기 떠 왔다.,분노의 호수 낚시터에서 한 무더기 떠 왔다.,Scooped up by the bucketful at the Lake of Rage fishing spot.
고라파덕,고라파덕,Psyduck
25번 도로. 계속 머리를 감싸 쥐고 있다.,25번 도로. 계속 머리를 감싸 쥐고 있다.,Route 25. It keeps clutching its head.
블루시티 냇가에서 멍하니 서 있던 것을 데려왔다.,블루시티 냇가에서 멍하니 서 있던 것을 데려왔다.,Brought in after it was found staring blankly by a Cerulean stream.
야돈,야돈,Slowpoke
갈색시티 우물가.,갈색시티 우물가.,By a well in Vermilion City.
블루시티 냇가에서 꼬리를 드리우고 있던 것을 들고 왔다.,블루시티 냇가에서 꼬리를 드리우고 있던 것을 들고 왔다.,Picked up while it dangled its tail in a Cerulean stream.
슬리프,슬리프,Drowzee
보라타운 골목에서 잠든 아이 옆을 서성이다 잡혔다.,보라타운 골목에서 잠든 아이 옆을 서성이다 잡혔다.,Caught lurking beside a sleeping kid in a Lavender Town alley.
코일,코일,Magnemite
갈색시티 전봇대에 붙어 있던 것을 떼어 왔다.,갈색시티 전봇대에 붙어 있던 것을 떼어 왔다.,Pried off a utility pole in Vermilion City.
쥬쥬,쥬쥬,Seel
쌍둥이섬 근처 바다.,쌍둥이섬 근처 바다.,The sea near the Seafoam Islands.
갈색시티 방파제에서 낮잠을 자다 잡혔다.,갈색시티 방파제에서 낮잠을 자다 잡혔다.,Caught napping on the Vermilion City breakwater.
가디,가디,Growlithe
7번 도로. 야생 가디.,7번 도로. 야생 가디.,Route 7. A wild Growlithe.
상록시티 외곽 공터에서 떠돌던 것을 잡았다.,상록시티 외곽 공터에서 떠돌던 것을 잡았다.,Caught wandering a vacant lot outside Viridian City.
